German
init_nickname;Geben Sie einen Charakternamen:
common_connect;Verbinden mit dem Game-Server. Bitte warten ...
common_cancel;stornieren
mission_gift;Belohnung:
mission_done;Level zu beenden!
mission_nobonus;Sie erhalten nur Gold und Spielgegenstände Sie zum ersten Mal klar, jeder gegebenen Ebene.
game_fail;Keine Überlebenden!
dialog_play;spielen
dialog_back;zurück
dialog_ok;Ok
postonwall;Aktie
episode1;Der Anfang
episode2;Fleischwolf
episode3;Walking Dead
episode_name;Folge {0}
mm_missions;Missionen
mm_maps;Meine Karten
mm_online;Online-Schlacht
mm_shop;Inventory (C)
mm_bank;Bank
mm_options;Spieloptionen (O)
mm_invite;Laden Sie Ihre Freunde!
c_slot;Karte
c_new_slot;Neue Slot
c_buy_slot_gold;Sie haben nicht genug Gold diesen Slot zu kaufen:
map_loading_data;Die Karte wird geladen Daten ...
low_gold;--- Nicht genug Gold. ---
c_map_title;Karte Name
c_map_id;Karte ID:
c_play_alone;Bitte nicht stören! \ N (Niemand wird zu Ihrer Karte reisen)
c_light_type;Lichtart: \ n
c_map_choseMap;Wählen Sie eines Ihrer Karten aus der Liste auf der linken Seite.
c_map_help;Sie können Karten auf eigene Faust oder mit Freunden zu bauen und dann auf sie online spielen!
common_connect_game;Anschluss an das Spiel. Bitte warten ...
password;Kennwort
do_load;LOAD
regenerate;Generieren Neue Karte
ys_regenerate;Die aktuelle Karte verloren! \ NSind Sie sicher, dass Sie ein neues zu generieren?
no;NEIN
yes;ja
ok;Ok
map_slot_empty;Keine Karte erstellt noch \ nWählen einen Typ für eine neue Karte .:
create_game;CREATE
dialog_cancel;stornieren
online_server_type;SELECT Server-Typ:
players_on_server;{0} Spieler spielen auf Servern diese Parameter passend
connect_game;Mit Server verbinden!
onl_type;Typ:
onl_map;Karte:
onl_light;Light:
onl_break;Zerstörung:
onl_input_password;Anmeldung Passwort:
onl_friends;Spiele Meine Freunde sind in JETZT SPIELEN:
onl_empty_rooms;Keine Freunde spielen.
onl_unknown_map;Unbekannt Karte
onl_mission_desc;Folge {0}, {1} Mission
onl_players_online;Online: {0}
daily_bonus;BONUS
daily_desc;Spielen Sie jeden Tag das Spiel Teil einer geheimen Waffe zu bekommen!
daily_tip;Sammeln Sie alle 4 Teile bekommen die {0}
take_bonus;Sammeln Sie Bonus
dont_cheat;Ich werde nie wieder zu betrügen!
special_bonus;SPECIAL BONUS!
is_one_day;1 Tag
is_one_week;7 Tage
is_one_mounth;30 Tage
is_two_weeks;2 Wochen
is_unlimit;für immer
no_money;Nicht genug Geld:
is_reload;R - Reload
is_time_left;Verbleibende Zeit:
is_days_left;0 Tage
is_hours_left;{0} Stunden {1} Minuten
is_max;Max Kapazität
is_min_level_to_buy;Zur Erhöhung, benötigen Sie:
is_ammo_info;Diese Kugel-Set wird jede Schlacht gegeben werden.
is_initial_ammo;Anfangskapazität:
is_tabs[0];Die Blöcke
is_tabs[1];Artikel
is_tabs[2];Mechanismen
is_tabs[3];respawns
is_tabs[4];Bewaffnung
is_tabs[5];Charakter
is_tabs[6];Bank
BonusTypeStr[0];Gesundheit
BonusTypeStr[1];Rüstung
BonusTypeStr[2];Geschwindigkeit
BonusTypeStr[3];springen
BonusTypeStr[4];Ausdauer
vip_info;Erhalten Sie VIP-Status zu bekommen: \ n1. + {0}% Erfahrung und Geld pro Ebene! \ N2. Entriegeltes im Spiel Voice-Chat! \ N3. Zwei Sterne hinzugefügt, um alle Ihre Statistiken! \ N4. Respawn 30 Sekunden nach dem Tod, wenn Sie im Survival-Modus spielst!
