key;en
init_nickname;Enter a character name:
common_connect;Connecting to the game server. Please wait...
common_cancel;Cancel
mission_gift;Reward:
mission_done;Level complete!
mission_nobonus;You only receive gold and game items the FIRST time you clear any given level.
game_fail;No survivors!
dialog_play;Play
dialog_back;Back
dialog_ok;OK
postonwall;Share
episode1;The Beginning
episode2;Meat Grinder
episode3;Walking Dead
episode_name;Episode {0}
mm_missions;Missions
mm_maps;My Maps
mm_online;Online Battle
mm_shop;Inventory (C)
mm_bank;Bank
mm_options;Game Options (O)
mm_invite;Invite your friends!
c_slot;Map
c_new_slot;New Slot
c_buy_slot_gold;You don’t have enough gold to buy this slot:
map_loading_data;Loading map data...
low_gold;--- Not enough gold. ---
c_map_title;Map name:
c_map_id;Map ID:
c_play_alone;Do not disturb!\n(No one will travel to your map)
c_light_type;Light type:\n
c_map_choseMap;Select one of your maps from the list on the left.
c_map_help;You can build maps on your own or with friends and then play on them online!
common_connect_game;Connecting to the game. Please wait...
password;Password
do_load;LOAD
regenerate;Generate New Map
ys_regenerate;The current map will be lost!\nAre you sure you want to generate a new one?
no;NO
yes;Yes
ok;OK
map_slot_empty;No map created yet.\nSelect a type for a new map:
create_game;CREATE
dialog_cancel;Cancel
online_server_type;SELECT SERVER TYPE:
players_on_server;{0} players are playing on servers matching these parameters
connect_game;CONNECT TO SERVER!
onl_type;Type:
onl_map;Map:
onl_light;Light:
onl_break;Destruction:
onl_input_password;Login password:
onl_friends;GAMES MY FRIENDS ARE PLAYING IN RIGHT NOW:
onl_empty_rooms;No friends are playing.
onl_unknown_map;Unknown Map
onl_mission_desc;Episode {0}, Mission {1}
onl_players_online;Online: {0}
daily_bonus;BONUS
daily_desc;Play the game every day to get part of a secret weapon!
daily_tip;Collect all 4 parts to get the {0}
take_bonus;Collect Bonus
dont_cheat;I’ll never cheat again!
special_bonus;SPECIAL BONUS!
is_one_day;1 day
is_one_week;7 days
is_one_mounth;30 days
is_two_weeks;2 weeks
is_unlimit;Forever
no_money;Not enough money:
is_reload;R - Reload
is_time_left;Time remaining:
is_days_left;0 days
is_hours_left;{0} hours {1} minutes
is_max;Max Capacity
is_min_level_to_buy;To increase, you need:
is_ammo_info;This bullet set will be given out every battle.
is_initial_ammo;Initial capacity:
is_tabs[0];Blocks
is_tabs[1];Decorations
is_tabs[2];Mechanisms
is_tabs[3];Items and\nAbilities
is_tabs[4];Weapons
is_tabs[5];Character
is_tabs[6];Bank
BonusTypeStr[0];health
BonusTypeStr[1];armor
BonusTypeStr[2];speed
BonusTypeStr[3];jump
BonusTypeStr[4];endurance
vip_info;Get VIP status to get:\n1. +{0}% experience and money per level!\n2. Unlocked in-game voice chat!\n3. Two stars added to all of your stats!\n4. Respawn 30 seconds after death when you’re playing in survival mode!
is_weapon_power;Power:
is_cash;cash:
is_gold;gold:
is_upgrade;Upgrade -
is_weapon_ammo_has;Available:
is_weapon_ammo_buy;"	Buy"
is_need_more;more required
is_buy_for;Buy for
player_level;Level:
player_rank;Current rank:
player_kills;Kills:
xp_next;XP till next level
is_nick;Name:
is_no_bonus;No bonuses
is_no_item;Nothing
mission_developing;Mission still in development
mission_closed;Clear the previous mission with 3 stars first.
episode_developing;Episode still in development
MissionType[0];<empty>
MissionType[1];Find an exit
MissionType[2];Hold out for {0}
MissionType[3];Kill {0} {1}
MissionType[4];Find the {0}
MissionType[5];Find the {0} in {1}
MissionType[6];Kill {0} {1} in {2}
CubesTypes[0];Nature
CubesTypes[1];Construction
CubesTypes[2];Decorative
CubesTypes[3];Glass
CubesTypes[4];Water
CubesTypes[5];Metal
DecorTypes[0];Light
DecorTypes[1];Furniture
DecorTypes[2];Doors
DecorTypes[3];Ladders
DecorTypes[4];Flowers
DecorTypes[5];Decor
DecorTypes[6];Respawn
DecorTypes[7];Roads
DecorTypes[8];Weapons
DecorTypes[9];Monsters
ItemsTypes[0];Construction
ItemsTypes[1];Special
ItemsTypes[2];Combat
ItemsTypes[3];Movement
WeaponTypes[0];Weapons
WeaponTypes[1];Ammo
CharacterPages[0];Summary
CharacterPages[1];Apparel
CharacterPages[2];Parameters
CharacterPages[3];VIP Status
DeviceTypes[0];Switches\nand Wires
DeviceTypes[1];Doors, Lifts,\nand Platforms
DeviceTypes[2];Other Mechanisms
ClothesType[0];Skin
ClothesType[1];Head
ClothesType[2];Torso
ClothesType[3];Back
ClothesType[4];Arms
ClothesType[5];Legs
