Polish
init_nickname;Wpisz nazwę postaci:
common_connect;Łączenie się z serwerem gry. Proszę czekać ...
common_cancel;anulować
mission_gift;Nagroda:
mission_done;Poziom zakończona!
mission_nobonus;Otrzymujesz tylko wyroby złotnicze i gier po raz pierwszy jasno dowolnego danego poziomu.
game_fail;Nie przeżył!
dialog_play;grać
dialog_back;z powrotem
dialog_ok;w porządku
postonwall;udział
episode1;Początek
episode2;meat Grinder
episode3;Walking Dead
episode_name;Odcinek {0}
mm_missions;misje
mm_maps;Moje mapy
mm_online;Bitwa online
mm_shop;Inventory (C)
mm_bank;Bank
mm_options;Opcje gry (O)
mm_invite;Zaproś swoich znajomych!
c_slot;mapa
c_new_slot;Nowy Slot
c_buy_slot_gold;Nie masz wystarczająco dużo złota, aby kupić ten boks:
map_loading_data;Ładowanie danych map ...
low_gold;--- Za mało złota. ---
c_map_title;Nazwa mapy
c_map_id;Map ID:
c_play_alone;Nie przeszkadzać! \ N (Nikt nie pojedzie do mapy)
c_light_type;Rodzaj światła: \ n
c_map_choseMap;Wybierz jedną z map z listy po lewej stronie.
c_map_help;Można budować mapy na własną rękę lub z przyjaciółmi, a następnie grać na nich w trybie online!
common_connect_game;Podłączanie do gry. Proszę czekać ...
password;hasło
do_load;LOAD
regenerate;Generowania nowych Map
ys_regenerate;Aktualna mapa zostaną utracone! \ NCzy na pewno chcesz wygenerować nowy?
no;NIE
yes;tak
ok;w porządku
map_slot_empty;Nie Mapa tworzona jeszcze \ nWybierz typ dla nowej mapie .:
create_game;TWORZENIE
dialog_cancel;anulować
online_server_type;Wybierz Serwer TYP:
players_on_server;{0} gracze grają na serwerach tych parametrów odpowiadających
connect_game;CONNECT TO serwerze!
onl_type;Typ:
onl_map;Mapa:
onl_light;światło:
onl_break;zniszczenie:
onl_input_password;Zaloguj się hasło:
onl_friends;GRY moich przyjaciół grających w RIGHT NOW:
onl_empty_rooms;Brak przyjaciół grają.
onl_unknown_map;Nieznany Mapa
onl_mission_desc;Odcinek {0} {1} Mission
onl_players_online;Online: {0}
daily_bonus;BONUS
daily_desc;Zagraj w grę codziennie dostać część tajną broń!
daily_tip;Zbierz wszystkie 4 części, aby uzyskać {0}
take_bonus;Zbierz Bonus
dont_cheat;Nigdy nie będę oszukiwać znowu!
special_bonus;Specjalny bonus!
is_one_day;1 dzień
is_one_week;7 dni
is_one_mounth;30 dni
is_two_weeks;2 tygodnie
is_unlimit;zawsze
no_money;Za mało pieniędzy:
is_reload;R - Odśwież
is_time_left;Pozostały czas:
is_days_left;0 dni
is_hours_left;{0} {1} godzin minut
is_max;Maksymalna ilość miejsc
is_min_level_to_buy;Aby zwiększyć, trzeba:
is_ammo_info;Zestaw ten pocisk zostanie zwrócona na każdą bitwę.
is_initial_ammo;Pojemność początkowa:
is_tabs[0];bloki
is_tabs[1];pozycje
is_tabs[2];mechanizmy
is_tabs[3];respawns
is_tabs[4];broń
is_tabs[5];charakter
is_tabs[6];Bank
BonusTypeStr[0];zdrowie
BonusTypeStr[1];zbroja
BonusTypeStr[2];prędkość
BonusTypeStr[3];skok
BonusTypeStr[4];wytrzymałość
vip_info;Uzyskać status VIP dostać: \ n1. + {0}% doświadczenia i pieniądze na każdym poziomie! \ N2. Odblokowany w grze czat głosowy! \ N3. Dwie gwiazdki dodawane do wszystkich statystyk! \ N4. Respawn 30 sekund po śmierci, kiedy grasz w trybie przetrwania!
is_weapon_power;moc:
is_cash;gotówka:
is_gold;złoto:
is_upgrade;Upgrade -
is_weapon_ammo_has;dostępne:
is_weapon_ammo_buy;"Kup"
is_need_more;więcej wymagane
is_buy_for;Kup za
player_level;poziom:
player_rank;Aktualna pozycja:
player_kills;Zabici:
xp_next;XP do następnego poziomu
is_nick;Nazwa:
is_no_bonus;Brak premii
is_no_item;nic
mission_developing;Misja jeszcze w fazie rozwoju
mission_closed;Usunąć poprzednią misję z 3 gwiazdki pierwszych.
episode_developing;Odcinek jeszcze w fazie rozwoju
MissionType[0];<Puste>
MissionType[1];Znajdź wyjście
MissionType[2];Trzymaj się {0}
